255;786;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;798;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;818;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;837;4;142;[36, 255, 107, 142]
142;840;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;841;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;841;6;217;[255, 131, 255, 89, 255, 217]
59;856;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
67;866;10;161;[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
59;896;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
145;933;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;935;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;947;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;948;7;39;[174, 255, 73, 255, 51, 255, 39]
255;953;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;957;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;958;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;958;6;217;[255, 131, 255, 35, 53, 217]
53;962;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;972;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;977;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;989;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;1009;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;1028;4;142;[36, 255, 107, 142]
142;1031;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;1032;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1032;6;217;[255, 131, 255, 89, 255, 217]
59;1047;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
67;1057;10;161;[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
59;1087;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
145;1124;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;1126;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;1138;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;1139;7;39;[174, 255, 73, 255, 51, 255, 39]
255;1144;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;1148;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;1149;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1149;6;217;[255, 131, 255, 35, 53, 217]
53;1153;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;1163;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;1168;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;1180;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;1200;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;1219;4;142;[36, 255, 107, 142]
142;1222;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;1223;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;1223;6;217;[255, 131, 255, 89, 255, 217]
59;1238;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
67;1248;10;161;[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
59;1278;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
142;1302;21;255;[142, 255, 131, 255, 175, 132, 95, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142, 255, 131, 255]
145;1315;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;1317;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;1329;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;1330;7;39;[174, 255, 73, 255, 51, 255, 39]
255;1335;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;1339;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
