WRONG_SUM! 31/07 14:18:42 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:42 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:42 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:42 SUM: 212  	[233, 192, 190, 252, 248, 253, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:42 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:42 SUM: 139  	[252, 161, 255, 239, 0]
WRONG_SUM! 31/07 14:18:42 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:42 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:42 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:42 SUM: 162  	[85, 255, 143, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:42 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:43 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:43 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:43 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:43 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:43 SUM: 219  	[233, 192, 190, 252, 252, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:43 SUM: 233  	[191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:43 SUM: 137  	[252, 161, 253, 239, 0]
WRONG_SUM! 31/07 14:18:43 SUM: 253  	[253, 192]
WRONG_SUM! 31/07 14:18:43 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:43 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:43 SUM: 162  	[85, 255, 143, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:43 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:44 SUM: 231  	[255, 255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:44 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:44 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:44 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:44 SUM: 218  	[255, 233, 192, 190, 252, 252, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:44 SUM: 41  	[255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:44 SUM: 210  	[252, 60, 171, 239, 0]
WRONG_SUM! 31/07 14:18:44 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:44 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:44 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:44 SUM: 127  	[85, 107, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:45 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:45 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:45 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:45 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:45 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:45 SUM: 214  	[255, 233, 192, 190, 252, 248, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:45 SUM: 233  	[191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:45 SUM: 137  	[252, 161, 253, 239, 0]
WRONG_SUM! 31/07 14:18:45 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:45 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:45 SUM: 0  	[254]
WRONG_SUM! 31/07 14:18:45 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:45 SUM: 224  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:45 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:46 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:46 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:46 SUM: 0  	[85, 255, 143, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:46 SUM: 229  	[187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:46 SUM: 221  	[233, 192, 190, 254, 252, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:46 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:46 SUM: 137  	[252, 161, 253, 239, 0]
WRONG_SUM! 31/07 14:18:46 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:46 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:46 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:46 SUM: 32  	[85, 255, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:46 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:47 SUM: 231  	[255, 255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:47 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:47 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:47 SUM: 41  	[255, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:47 SUM: 250  	[255, 233, 192, 190, 252, 252, 175, 224, 13, 0]
WRONG_SUM! 31/07 14:18:47 SUM: 126  	[85, 255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:47 SUM: 114  	[252, 161, 253, 239, 0, 233, 192]
WRONG_SUM! 31/07 14:18:47 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:47 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:47 SUM: 224  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:47 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:48 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:48 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:48 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:48 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:48 SUM: 175  	[255, 233, 192, 190, 252, 252, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:48 SUM: 233  	[191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:48 SUM: 137  	[252, 161, 253, 239, 0]
WRONG_SUM! 31/07 14:18:48 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:48 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:48 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:48 SUM: 224  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:48 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:49 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:49 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:49 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:49 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:49 SUM: 218  	[255, 233, 192, 190, 252, 252, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:49 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:49 SUM: 137  	[252, 161, 253, 239, 0]
WRONG_SUM! 31/07 14:18:49 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:18:49 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:49 SUM: 0  	[254]
WRONG_SUM! 31/07 14:18:49 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:49 SUM: 32  	[85, 255, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:49 SUM: 233  	[233, 224]
